buy_order,sell_order,percent_change
"{'orderType': True, 'location': 60003760, 'price': 400300.0, 'system': 30000142, 'item': 7049, 'volume': 226}","{'orderType': False, 'location': 60012667, 'price': 350000.0, 'system': 30000180, 'item': 7049, 'volume': 2}",14.371428571428572
"{'orderType': True, 'location': 1042508032148, 'price': 27280.0, 'system': 30000144, 'item': 25605, 'volume': 14000}","{'orderType': False, 'location': 60003067, 'price': 23860.0, 'system': 30000119, 'item': 25605, 'volume': 4}",14.333612740989102
"{'orderType': True, 'location': 60003754, 'price': 8000.0, 'system': 30000144, 'item': 15588, 'volume': 128}","{'orderType': False, 'location': 60010195, 'price': 7000.0, 'system': 30000159, 'item': 15588, 'volume': 2}",14.285714285714285
"{'orderType': True, 'location': 60003760, 'price': 15310.0, 'system': 30000142, 'item': 17233, 'volume': 7344}","{'orderType': False, 'location': 60003463, 'price': 13400.0, 'system': 30000142, 'item': 17233, 'volume': 2}",14.253731343283583
"{'orderType': True, 'location': 60003676, 'price': 17140.0, 'system': 30000149, 'item': 16301, 'volume': 1}","{'orderType': False, 'location': 60003760, 'price': 15030.0, 'system': 30000142, 'item': 16301, 'volume': 12}",14.038589487691283
"{'orderType': True, 'location': 1044752365771, 'price': 97030.0, 'system': 30000144, 'item': 11351, 'volume': 58}","{'orderType': False, 'location': 60004228, 'price': 85100.0, 'system': 30000129, 'item': 11351, 'volume': 1}",14.018801410105757
"{'orderType': True, 'location': 60003760, 'price': 11.41, 'system': 30000142, 'item': 1230, 'volume': 5475488}","{'orderType': False, 'location': 60000394, 'price': 10.01, 'system': 30000138, 'item': 1230, 'volume': 431568}",13.98601398601399
"{'orderType': True, 'location': 1044752365771, 'price': 204700.0, 'system': 30000144, 'item': 32014, 'volume': 1678}","{'orderType': False, 'location': 60012667, 'price': 180100.0, 'system': 30000180, 'item': 32014, 'volume': 155}",13.659078289838977
"{'orderType': True, 'location': 60003760, 'price': 397300.0, 'system': 30000142, 'item': 7045, 'volume': 300}","{'orderType': False, 'location': 60004237, 'price': 350000.0, 'system': 30000129, 'item': 7045, 'volume': 1}",13.514285714285714
"{'orderType': True, 'location': 60003760, 'price': 96140.0, 'system': 30000142, 'item': 6961, 'volume': 29}","{'orderType': False, 'location': 60004228, 'price': 85010.0, 'system': 30000129, 'item': 6961, 'volume': 1}",13.092577343841901
"{'orderType': True, 'location': 60003760, 'price': 225600.0, 'system': 30000142, 'item': 5955, 'volume': 260}","{'orderType': False, 'location': 60003397, 'price': 200000.0, 'system': 30000129, 'item': 5955, 'volume': 1}",12.8
"{'orderType': True, 'location': 60003760, 'price': 922400.0, 'system': 30000142, 'item': 11325, 'volume': 235}","{'orderType': False, 'location': 60004237, 'price': 818100.0, 'system': 30000129, 'item': 11325, 'volume': 3}",12.749052683046083
"{'orderType': True, 'location': 1042508032148, 'price': 6265000.0, 'system': 30000144, 'item': 13984, 'volume': 19}","{'orderType': False, 'location': 60001624, 'price': 5557000.0, 'system': 30000197, 'item': 13984, 'volume': 1}",12.740687421270469
"{'orderType': True, 'location': 60000448, 'price': 17.17, 'system': 30000139, 'item': 210, 'volume': 2000}","{'orderType': False, 'location': 60003760, 'price': 15.25, 'system': 30000142, 'item': 210, 'volume': 21506381}",12.59016393442624
"{'orderType': True, 'location': 60015157, 'price': 50640.0, 'system': 30000141, 'item': 3393, 'volume': 1}","{'orderType': False, 'location': 60004435, 'price': 45000.0, 'system': 30000167, 'item': 3393, 'volume': 757}",12.533333333333333
"{'orderType': True, 'location': 60003754, 'price': 4500.0, 'system': 30000144, 'item': 15587, 'volume': 128}","{'orderType': False, 'location': 60003070, 'price': 4000.0, 'system': 30000181, 'item': 15587, 'volume': 4}",12.5
"{'orderType': True, 'location': 60003754, 'price': 4500.0, 'system': 30000144, 'item': 15625, 'volume': 128}","{'orderType': False, 'location': 60010195, 'price': 4000.0, 'system': 30000159, 'item': 15625, 'volume': 2}",12.5
"{'orderType': True, 'location': 60003760, 'price': 7221.0, 'system': 30000142, 'item': 62568, 'volume': 61476}","{'orderType': False, 'location': 60002284, 'price': 6430.0, 'system': 30000167, 'item': 62568, 'volume': 4009}",12.301710730948678
"{'orderType': True, 'location': 60003061, 'price': 140.0, 'system': 30000120, 'item': 16272, 'volume': 11200}","{'orderType': False, 'location': 60006430, 'price': 125.0, 'system': 30000135, 'item': 16272, 'volume': 1900000}",12.0
"{'orderType': True, 'location': 60003760, 'price': 357100.0, 'system': 30000142, 'item': 85316, 'volume': 1032}","{'orderType': False, 'location': 60002437, 'price': 319000.0, 'system': 30000153, 'item': 85316, 'volume': 4}",11.943573667711599
"{'orderType': True, 'location': 60003760, 'price': 50330000.0, 'system': 30000142, 'item': 22460, 'volume': 1}","{'orderType': False, 'location': 60001804, 'price': 45000000.0, 'system': 30000162, 'item': 22460, 'volume': 1}",11.844444444444445
"{'orderType': True, 'location': 60002353, 'price': 33500.0, 'system': 30000181, 'item': 11399, 'volume': 199}","{'orderType': False, 'location': 60003760, 'price': 30140.0, 'system': 30000142, 'item': 11399, 'volume': 13738}",11.14797611147976
"{'orderType': True, 'location': 60000289, 'price': 950.0, 'system': 30000121, 'item': 20, 'volume': 17472}","{'orderType': False, 'location': 60003760, 'price': 857.2, 'system': 30000142, 'item': 20, 'volume': 2366}",10.825944937004193
"{'orderType': True, 'location': 60003760, 'price': 750800.0, 'system': 30000142, 'item': 2905, 'volume': 82}","{'orderType': False, 'location': 60003136, 'price': 679800.0, 'system': 30000156, 'item': 2905, 'volume': 3}",10.444248308325978
